Conversation_no,Turn_no,QID,Question,Answer,Entity,Salience
9,2,9-2,Why should one study statistics?,"To summarize, the five reasons to study statistics are to be able to effectively conduct research, to be able to read and evaluate journal articles, to further develop critical thinking and analytic skills, to act a an informed consumer, and to know when you need to hire outside statistical help.",Analysis,1.25
9,3,9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician",Financial risk,1.0
9,3,9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician",Actuary,1.3333333333333333
9,3,9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician",Operations research,1.6666666666666667
9,3,9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician",Employment,1.3333333333333333
9,3,9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician",Civil service,2.0
10,1,10-1,How does water freeze?,"Freezing happens when the molecules of a liquid get so cold that they slow down enough to hook onto each other, forming a solid crystal.",Freezing,1.0
10,1,10-1,How does water freeze?,"Freezing happens when the molecules of a liquid get so cold that they slow down enough to hook onto each other, forming a solid crystal.",Crystal structure,0.5
10,1,10-1,How does water freeze?,"Freezing happens when the molecules of a liquid get so cold that they slow down enough to hook onto each other, forming a solid crystal.",Liquid,1.0
10,2,10-2,How happens to waters molecules when it freezes?,"When frozen, water molecules take a more defined shape and arrange themselves in six-sided crystalline structures. The crystalline arrangement is less dense than that of the molecules in liquid form which makes the ice less dense than the liquid water.",Ice,1.25
10,2,10-2,How happens to waters molecules when it freezes?,"When frozen, water molecules take a more defined shape and arrange themselves in six-sided crystalline structures. The crystalline arrangement is less dense than that of the molecules in liquid form which makes the ice less dense than the liquid water.",Liquid,1.0
10,2,10-2,How happens to waters molecules when it freezes?,"When frozen, water molecules take a more defined shape and arrange themselves in six-sided crystalline structures. The crystalline arrangement is less dense than that of the molecules in liquid form which makes the ice less dense than the liquid water.",Properties of water,1.25
10,2,10-2,How happens to waters molecules when it freezes?,"When frozen, water molecules take a more defined shape and arrange themselves in six-sided crystalline structures. The crystalline arrangement is less dense than that of the molecules in liquid form which makes the ice less dense than the liquid water.",Water,1.75
10,2,10-2,How happens to waters molecules when it freezes?,"When frozen, water molecules take a more defined shape and arrange themselves in six-sided crystalline structures. The crystalline arrangement is less dense than that of the molecules in liquid form which makes the ice less dense than the liquid water.",Shape,1.75
13,2,13-2,How is tofu made?,"Tofu is made from soybeans that are ground in water, heated, and coagulated with minerals like calcium or magnesium salt. The curds are then pressed into a block, which is then sold as tofu.",Soybean,1.3333333333333333
13,2,13-2,How is tofu made?,"Tofu is made from soybeans that are ground in water, heated, and coagulated with minerals like calcium or magnesium salt. The curds are then pressed into a block, which is then sold as tofu.",Mineral,1.3333333333333333
13,2,13-2,How is tofu made?,"Tofu is made from soybeans that are ground in water, heated, and coagulated with minerals like calcium or magnesium salt. The curds are then pressed into a block, which is then sold as tofu.",Curd,1.3333333333333333
13,2,13-2,How is tofu made?,"Tofu is made from soybeans that are ground in water, heated, and coagulated with minerals like calcium or magnesium salt. The curds are then pressed into a block, which is then sold as tofu.",Calcium,2.0
13,2,13-2,How is tofu made?,"Tofu is made from soybeans that are ground in water, heated, and coagulated with minerals like calcium or magnesium salt. The curds are then pressed into a block, which is then sold as tofu.",Water,1.3333333333333333
19,1,19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.",Food,1.0
19,1,19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.",Chemistry,2.0
19,1,19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.",Chemical reaction,2.0
19,1,19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.",Chemical energy,1.0
19,1,19-1,What is chemical energy?,"Chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and etc.",Gasoline,0.0
19,2,19-2,Describe a chemical reaction.,"No new atoms are created, and no atoms are destroyed. In a chemical reaction, reactants contact each other, bonds between atoms in the reactants are broken, and atoms rearrange and form new bonds to make the products.",Chemical reaction,1.3333333333333333
19,2,19-2,Describe a chemical reaction.,"No new atoms are created, and no atoms are destroyed. In a chemical reaction, reactants contact each other, bonds between atoms in the reactants are broken, and atoms rearrange and form new bonds to make the products.",Reagent,0.3333333333333333
19,2,19-2,Describe a chemical reaction.,"No new atoms are created, and no atoms are destroyed. In a chemical reaction, reactants contact each other, bonds between atoms in the reactants are broken, and atoms rearrange and form new bonds to make the products.",Atom,1.3333333333333333
19,2,19-2,Describe a chemical reaction.,"No new atoms are created, and no atoms are destroyed. In a chemical reaction, reactants contact each other, bonds between atoms in the reactants are broken, and atoms rearrange and form new bonds to make the products.",Chemical bond,1.6666666666666667
19,3,19-3,How is a chemical reaction represented mathematically?,"A chemical reaction may be represented by a chemical equation, which indicates the number and type of each atom, as well as their organization into molecules or ions. A chemical equation uses the element symbols as shorthand notation for the elements, with arrows to indicate the direction of the reaction.",Chemical element,1.3333333333333333
19,3,19-3,How is a chemical reaction represented mathematically?,"A chemical reaction may be represented by a chemical equation, which indicates the number and type of each atom, as well as their organization into molecules or ions. A chemical equation uses the element symbols as shorthand notation for the elements, with arrows to indicate the direction of the reaction.",Chemical equation,1.6666666666666667
19,3,19-3,How is a chemical reaction represented mathematically?,"A chemical reaction may be represented by a chemical equation, which indicates the number and type of each atom, as well as their organization into molecules or ions. A chemical equation uses the element symbols as shorthand notation for the elements, with arrows to indicate the direction of the reaction.",Chemical reaction,1.3333333333333333
19,3,19-3,How is a chemical reaction represented mathematically?,"A chemical reaction may be represented by a chemical equation, which indicates the number and type of each atom, as well as their organization into molecules or ions. A chemical equation uses the element symbols as shorthand notation for the elements, with arrows to indicate the direction of the reaction.",Data type,0.3333333333333333
19,3,19-3,How is a chemical reaction represented mathematically?,"A chemical reaction may be represented by a chemical equation, which indicates the number and type of each atom, as well as their organization into molecules or ions. A chemical equation uses the element symbols as shorthand notation for the elements, with arrows to indicate the direction of the reaction.",Molecule,1.3333333333333333
20,2,20-2,What are the important functions of a cell membrane?,"The primary function of the plasma membrane is to protect the cell from its surroundings. Composed of a phospholipid bilayer with embedded proteins, the plasma membrane is selectively permeable to ions and organic molecules and regulates the movement of substances in and out of cells.",Lipid bilayer,2.0
20,2,20-2,What are the important functions of a cell membrane?,"The primary function of the plasma membrane is to protect the cell from its surroundings. Composed of a phospholipid bilayer with embedded proteins, the plasma membrane is selectively permeable to ions and organic molecules and regulates the movement of substances in and out of cells.",Organic compound,0.6666666666666666
20,2,20-2,What are the important functions of a cell membrane?,"The primary function of the plasma membrane is to protect the cell from its surroundings. Composed of a phospholipid bilayer with embedded proteins, the plasma membrane is selectively permeable to ions and organic molecules and regulates the movement of substances in and out of cells.",Chemical substance,0.6666666666666666
20,2,20-2,What are the important functions of a cell membrane?,"The primary function of the plasma membrane is to protect the cell from its surroundings. Composed of a phospholipid bilayer with embedded proteins, the plasma membrane is selectively permeable to ions and organic molecules and regulates the movement of substances in and out of cells.",Cell (biology),2.0
20,2,20-2,What are the important functions of a cell membrane?,"The primary function of the plasma membrane is to protect the cell from its surroundings. Composed of a phospholipid bilayer with embedded proteins, the plasma membrane is selectively permeable to ions and organic molecules and regulates the movement of substances in and out of cells.",Protein,1.3333333333333333
20,3,20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,Retina,1.75
20,3,20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,Lipid bilayer,1.25
20,3,20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,Lipid,2.0
20,3,20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,Cell (biology),1.5
20,3,20-3,Tell me about the phospholipid bilayer.,The lipid bilayer is a thin polar membrane made of two layers of lipid molecules. These membranes are flat sheets that form a continuous barrier around all cells.,Activation energy,2.0
22,1,22-1,What are the most common spices used in cooking?,"The infographic above shows that, surprisingly, cumin is the most popular spice in the world, and coriander (or cilantro) is the most commonly used herb. In Europe and Africa, garlic is the most common among all dishes considered, and—no surprises here—oregano is common in the Mediterranean regions.",Coriander,1.75
22,1,22-1,What are the most common spices used in cooking?,"The infographic above shows that, surprisingly, cumin is the most popular spice in the world, and coriander (or cilantro) is the most commonly used herb. In Europe and Africa, garlic is the most common among all dishes considered, and—no surprises here—oregano is common in the Mediterranean regions.",Herb,1.5
22,1,22-1,What are the most common spices used in cooking?,"The infographic above shows that, surprisingly, cumin is the most popular spice in the world, and coriander (or cilantro) is the most commonly used herb. In Europe and Africa, garlic is the most common among all dishes considered, and—no surprises here—oregano is common in the Mediterranean regions.",Africa,0.75
22,1,22-1,What are the most common spices used in cooking?,"The infographic above shows that, surprisingly, cumin is the most popular spice in the world, and coriander (or cilantro) is the most commonly used herb. In Europe and Africa, garlic is the most common among all dishes considered, and—no surprises here—oregano is common in the Mediterranean regions.",Japanese cuisine,1.0
22,1,22-1,What are the most common spices used in cooking?,"The infographic above shows that, surprisingly, cumin is the most popular spice in the world, and coriander (or cilantro) is the most commonly used herb. In Europe and Africa, garlic is the most common among all dishes considered, and—no surprises here—oregano is common in the Mediterranean regions.",Europe,0.75
22,2,22-2,How are spices different from herbs?,"Herbs and Spices come from Different parts of the plantAn herb is the green, leafy part of the plant. A spice can come from the root, stem, seed, fruit, flower or bark of the tree or plant.",Fruit,1.5
22,2,22-2,How are spices different from herbs?,"Herbs and Spices come from Different parts of the plantAn herb is the green, leafy part of the plant. A spice can come from the root, stem, seed, fruit, flower or bark of the tree or plant.",Plant,1.0
22,2,22-2,How are spices different from herbs?,"Herbs and Spices come from Different parts of the plantAn herb is the green, leafy part of the plant. A spice can come from the root, stem, seed, fruit, flower or bark of the tree or plant.",Seed,1.5
22,2,22-2,How are spices different from herbs?,"Herbs and Spices come from Different parts of the plantAn herb is the green, leafy part of the plant. A spice can come from the root, stem, seed, fruit, flower or bark of the tree or plant.",Verbenaceae,1.5
22,2,22-2,How are spices different from herbs?,"Herbs and Spices come from Different parts of the plantAn herb is the green, leafy part of the plant. A spice can come from the root, stem, seed, fruit, flower or bark of the tree or plant.",Flower,1.5
22,3,22-3,Why do spices taste good?,"Herbs and spices add taste to dishes which increases their complexity and make them more “interesting” to us. “Taste,” in this sense means adding notes of sweet, salty, sour, bitter, or umami.",Herb,1.0
22,3,22-3,Why do spices taste good?,"Herbs and spices add taste to dishes which increases their complexity and make them more “interesting” to us. “Taste,” in this sense means adding notes of sweet, salty, sour, bitter, or umami.",Cooking,2.0
22,3,22-3,Why do spices taste good?,"Herbs and spices add taste to dishes which increases their complexity and make them more “interesting” to us. “Taste,” in this sense means adding notes of sweet, salty, sour, bitter, or umami.",Wine tasting descriptors,0.5
22,3,22-3,Why do spices taste good?,"Herbs and spices add taste to dishes which increases their complexity and make them more “interesting” to us. “Taste,” in this sense means adding notes of sweet, salty, sour, bitter, or umami.",Note (perfumery),0.5
22,3,22-3,Why do spices taste good?,"Herbs and spices add taste to dishes which increases their complexity and make them more “interesting” to us. “Taste,” in this sense means adding notes of sweet, salty, sour, bitter, or umami.",Umami,2.0
28,1,28-1,Describe global warming.,"Global warming is the long-term rise in the average temperature of the Earths climate system. It is a major aspect of current climate change, and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.",Effects of global warming,1.5
28,1,28-1,Describe global warming.,"Global warming is the long-term rise in the average temperature of the Earths climate system. It is a major aspect of current climate change, and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.",Instrumental temperature record,1.25
28,1,28-1,Describe global warming.,"Global warming is the long-term rise in the average temperature of the Earths climate system. It is a major aspect of current climate change, and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.",Global warming,1.0
28,1,28-1,Describe global warming.,"Global warming is the long-term rise in the average temperature of the Earths climate system. It is a major aspect of current climate change, and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.",Aspect (geography),2.0
28,1,28-1,Describe global warming.,"Global warming is the long-term rise in the average temperature of the Earths climate system. It is a major aspect of current climate change, and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.",Measurement,1.25
28,3,28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.",Coal,1.0
28,3,28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.",Carbon dioxide,1.0
28,3,28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.",Fossil fuel,1.0
28,3,28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.",Petroleum,1.5
28,3,28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.",Energy,1.5
30,1,30-1,What are some advantages of using Linux?,Advantage of LinuxOpen Source: One of the main advantages of Linux is that it is an open source operating system i.e. its source code is easily available for everyone. ...Security: ...Revive older computer systems: ...Software Updates: ...Customization: ...Various Distributions: ...Free to use (Low Cost): ...Large Community Support:,Patch (computing),2.0
30,1,30-1,What are some advantages of using Linux?,Advantage of LinuxOpen Source: One of the main advantages of Linux is that it is an open source operating system i.e. its source code is easily available for everyone. ...Security: ...Revive older computer systems: ...Software Updates: ...Customization: ...Various Distributions: ...Free to use (Low Cost): ...Large Community Support:,Linux distribution,1.0
30,1,30-1,What are some advantages of using Linux?,Advantage of LinuxOpen Source: One of the main advantages of Linux is that it is an open source operating system i.e. its source code is easily available for everyone. ...Security: ...Revive older computer systems: ...Software Updates: ...Customization: ...Various Distributions: ...Free to use (Low Cost): ...Large Community Support:,Open source,2.0
30,1,30-1,What are some advantages of using Linux?,Advantage of LinuxOpen Source: One of the main advantages of Linux is that it is an open source operating system i.e. its source code is easily available for everyone. ...Security: ...Revive older computer systems: ...Software Updates: ...Customization: ...Various Distributions: ...Free to use (Low Cost): ...Large Community Support:,Statistic (role-playing games),1.3333333333333333
30,1,30-1,What are some advantages of using Linux?,Advantage of LinuxOpen Source: One of the main advantages of Linux is that it is an open source operating system i.e. its source code is easily available for everyone. ...Security: ...Revive older computer systems: ...Software Updates: ...Customization: ...Various Distributions: ...Free to use (Low Cost): ...Large Community Support:,Source code,1.6666666666666667
30,2,30-2,Can I run Windows software in Linux?,"Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop.",Open source,1.3333333333333333
30,2,30-2,Can I run Windows software in Linux?,"Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop.",Compatibility layer,1.3333333333333333
30,2,30-2,Can I run Windows software in Linux?,"Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop.",Wine (software),1.3333333333333333
30,3,30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Desktop environment,1.5
30,3,30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Legacy system,1.0
30,3,30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Morse code,0.5
30,3,30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Source code,1.5
30,3,30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Operating system,1.0
36,1,36-1,What is the US Electoral College?,"The Electoral College process consists of the selection of the electors, the meeting of the electors where they vote for President and Vice President, and the counting of the electoral votes by Congress. The Electoral College consists of 538 electors.",United States Congress,1.0
36,1,36-1,What is the US Electoral College?,"The Electoral College process consists of the selection of the electors, the meeting of the electors where they vote for President and Vice President, and the counting of the electoral votes by Congress. The Electoral College consists of 538 electors.",Vice President of the United States,1.3333333333333333
36,1,36-1,What is the US Electoral College?,"The Electoral College process consists of the selection of the electors, the meeting of the electors where they vote for President and Vice President, and the counting of the electoral votes by Congress. The Electoral College consists of 538 electors.",Electoral College (United States),1.0
36,1,36-1,What is the US Electoral College?,"The Electoral College process consists of the selection of the electors, the meeting of the electors where they vote for President and Vice President, and the counting of the electoral votes by Congress. The Electoral College consists of 538 electors.",President of the United States,1.3333333333333333
36,2,36-2,How does the US Electoral College work?,"In the Electoral College system, each state gets a certain number of electors based on its total number of representatives in Congress. Each elector casts one electoral vote following the general election; there are a total of 538 electoral votes.",Natural number,2.0
36,2,36-2,How does the US Electoral College work?,"In the Electoral College system, each state gets a certain number of electors based on its total number of representatives in Congress. Each elector casts one electoral vote following the general election; there are a total of 538 electoral votes.",Electoral College (United States),1.5
36,2,36-2,How does the US Electoral College work?,"In the Electoral College system, each state gets a certain number of electors based on its total number of representatives in Congress. Each elector casts one electoral vote following the general election; there are a total of 538 electoral votes.","United States presidential election, 1976",0.5
36,2,36-2,How does the US Electoral College work?,"In the Electoral College system, each state gets a certain number of electors based on its total number of representatives in Congress. Each elector casts one electoral vote following the general election; there are a total of 538 electoral votes.",United States House of Representatives,1.5
36,2,36-2,How does the US Electoral College work?,"In the Electoral College system, each state gets a certain number of electors based on its total number of representatives in Congress. Each elector casts one electoral vote following the general election; there are a total of 538 electoral votes.",U.S. state,1.5
36,3,36-3,Tell me about the US Electoral College creation.,The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,Election,1.6666666666666667
36,3,36-3,Tell me about the US Electoral College creation.,The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,United States Constitution,1.0
36,3,36-3,Tell me about the US Electoral College creation.,The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,United States Congress,1.3333333333333333
36,3,36-3,Tell me about the US Electoral College creation.,The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,Planned Parenthood,0.6666666666666666
36,3,36-3,Tell me about the US Electoral College creation.,The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,President of the United States,1.3333333333333333
38,1,38-1,What is Lyme disease?,"Lyme disease is a bacterial infection you get from the bite of an infected tick. The first symptom is usually a red rash, which may look like a bulls eye.",Tick,1.5
38,1,38-1,What is Lyme disease?,"Lyme disease is a bacterial infection you get from the bite of an infected tick. The first symptom is usually a red rash, which may look like a bulls eye.",Symptom,1.5
38,1,38-1,What is Lyme disease?,"Lyme disease is a bacterial infection you get from the bite of an infected tick. The first symptom is usually a red rash, which may look like a bulls eye.",Erythema,1.0
38,1,38-1,What is Lyme disease?,"Lyme disease is a bacterial infection you get from the bite of an infected tick. The first symptom is usually a red rash, which may look like a bulls eye.",Infection,1.0
38,3,38-3,How does Lyme Disease make you feel?,"Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen.",Symptom,1.3333333333333333
38,3,38-3,How does Lyme Disease make you feel?,"Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen.",Joint stiffness,1.6666666666666667
38,3,38-3,How does Lyme Disease make you feel?,"Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen.",Joint,1.3333333333333333
38,3,38-3,How does Lyme Disease make you feel?,"Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen.",Arthralgia,1.0
41,1,41-1,Why is the drinking age in the US 21 and not 18?,"In short, we ended up with a national minimum age of 21 because of the National Minimum Drinking Age Act of 1984. This law basically told states that they had to enact a minimum drinking age of 21 or lose up to 10 percent of their federal highway funding.",Legal drinking age,2.0
41,1,41-1,Why is the drinking age in the US 21 and not 18?,"In short, we ended up with a national minimum age of 21 because of the National Minimum Drinking Age Act of 1984. This law basically told states that they had to enact a minimum drinking age of 21 or lose up to 10 percent of their federal highway funding.",U.S. state,1.0
41,1,41-1,Why is the drinking age in the US 21 and not 18?,"In short, we ended up with a national minimum age of 21 because of the National Minimum Drinking Age Act of 1984. This law basically told states that they had to enact a minimum drinking age of 21 or lose up to 10 percent of their federal highway funding.",National Minimum Drinking Age Act,0.5
41,2,41-2,What were the pros and cons of the the drinking age in the US 21 being and not 18?,"If charged with a crime, the 18-year-old is no longer tried in juvenile court; hes tried as an adult. In essence, an 18, 19 and 20-year-old can do everything a 21-year-old can do, except drink alcohol.Of course, no one can ignore that one benefit of the 21-year-old age limit is less drunk driving fatalities.",Death,1.3333333333333333
41,2,41-2,What were the pros and cons of the the drinking age in the US 21 being and not 18?,"If charged with a crime, the 18-year-old is no longer tried in juvenile court; hes tried as an adult. In essence, an 18, 19 and 20-year-old can do everything a 21-year-old can do, except drink alcohol.Of course, no one can ignore that one benefit of the 21-year-old age limit is less drunk driving fatalities.",Alcohol,1.6666666666666667
41,2,41-2,What were the pros and cons of the the drinking age in the US 21 being and not 18?,"If charged with a crime, the 18-year-old is no longer tried in juvenile court; hes tried as an adult. In essence, an 18, 19 and 20-year-old can do everything a 21-year-old can do, except drink alcohol.Of course, no one can ignore that one benefit of the 21-year-old age limit is less drunk driving fatalities.",Ageing,1.0
41,3,41-3,Tell me about the negative health effects of drinking.,"Drinking a lot over a long time or too much on a single occasion can damage the heart, causing problems including: Cardiomyopathy – Stretching and drooping of heart muscle. Arrhythmias – Irregular heart beat. Stroke.",Heart,1.25
41,3,41-3,Tell me about the negative health effects of drinking.,"Drinking a lot over a long time or too much on a single occasion can damage the heart, causing problems including: Cardiomyopathy – Stretching and drooping of heart muscle. Arrhythmias – Irregular heart beat. Stroke.",Cardiac arrhythmia,1.25
41,3,41-3,Tell me about the negative health effects of drinking.,"Drinking a lot over a long time or too much on a single occasion can damage the heart, causing problems including: Cardiomyopathy – Stretching and drooping of heart muscle. Arrhythmias – Irregular heart beat. Stroke.",Alcohol intoxication,1.0
41,3,41-3,Tell me about the negative health effects of drinking.,"Drinking a lot over a long time or too much on a single occasion can damage the heart, causing problems including: Cardiomyopathy – Stretching and drooping of heart muscle. Arrhythmias – Irregular heart beat. Stroke.",Cardiomyopathy,1.25
41,3,41-3,Tell me about the negative health effects of drinking.,"Drinking a lot over a long time or too much on a single occasion can damage the heart, causing problems including: Cardiomyopathy – Stretching and drooping of heart muscle. Arrhythmias – Irregular heart beat. Stroke.",Chronic condition,1.25
57,1,57-1,How can you tell if someone is suffering from depression?,"You may be depressed if, for more than two weeks, youve felt sad, down or miserable most of the time, or have lost interest or pleasure in usual activities, and have also experienced several of the signs and symptoms across at least three of the categories below.",Pleasure,0.6666666666666666
57,1,57-1,How can you tell if someone is suffering from depression?,"You may be depressed if, for more than two weeks, youve felt sad, down or miserable most of the time, or have lost interest or pleasure in usual activities, and have also experienced several of the signs and symptoms across at least three of the categories below.",Symptom,1.3333333333333333
57,1,57-1,How can you tell if someone is suffering from depression?,"You may be depressed if, for more than two weeks, youve felt sad, down or miserable most of the time, or have lost interest or pleasure in usual activities, and have also experienced several of the signs and symptoms across at least three of the categories below.",Physical exercise,1.0
57,2,57-2,What are common types of depression?,"he four most common types of depression are major depression, persistent depressive disorder(formerly known as dysthymia), bipolar disorder, and seasonal affective disorder.",Major depressive disorder,1.3333333333333333
57,2,57-2,What are common types of depression?,"he four most common types of depression are major depression, persistent depressive disorder(formerly known as dysthymia), bipolar disorder, and seasonal affective disorder.",Seasonal affective disorder,1.3333333333333333
57,2,57-2,What are common types of depression?,"he four most common types of depression are major depression, persistent depressive disorder(formerly known as dysthymia), bipolar disorder, and seasonal affective disorder.",Bipolar disorder,1.0
57,2,57-2,What are common types of depression?,"he four most common types of depression are major depression, persistent depressive disorder(formerly known as dysthymia), bipolar disorder, and seasonal affective disorder.",Dysthymia,1.6666666666666667
58,2,58-2,How does a real-time database differ from traditional databases?,"A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time.",Process (computing),1.5
58,2,58-2,How does a real-time database differ from traditional databases?,"A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time.",Time,0.5
58,2,58-2,How does a real-time database differ from traditional databases?,"A real-time database is a database system which uses real-time processing to handle workloads whose state is constantly changing. This differs from traditional databases containing persistent data, mostly unaffected by time.",State (computer science),1.5
58,3,58-3,What are the advantages of real-time processing in real-time databases?,Ideal for processing large volumes of data/transaction for it increases efficiency rather than processing each individually.Can be done or processed independently during less-busy times or at a desired designated time.,Efficiency,1.5
58,3,58-3,What are the advantages of real-time processing in real-time databases?,Ideal for processing large volumes of data/transaction for it increases efficiency rather than processing each individually.Can be done or processed independently during less-busy times or at a desired designated time.,Data,1.0
58,3,58-3,What are the advantages of real-time processing in real-time databases?,Ideal for processing large volumes of data/transaction for it increases efficiency rather than processing each individually.Can be done or processed independently during less-busy times or at a desired designated time.,Database transaction,1.0
62,3,62-3,Tell me about the Surrealism movement's founding.,"Founded by the poet André Breton in Paris in 1924, Surrealism was an artistic and literary movement. It proposed that the Enlightenment—the influential 17th- and 18th-century intellectual movement that championed reason and individualism—had suppressed the superior qualities of the irrational, unconscious mind.",Unconscious mind,1.3333333333333333
